混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
axi,net/minecraft/src/C_212966_,,net/minecraft/tags/WorldPresetTags,net/minecraft/registry/tag/WorldPresetTags,net/minecraft/class_7089
axa,net/minecraft/src/C_212958_,net/minecraft/tags/PoiTypeTags,net/minecraft/tags/PoiTypeTags,net/minecraft/registry/tag/PointOfInterestTypeTags,net/minecraft/class_7473
axg,net/minecraft/src/C_161_,net/minecraft/tags/TagDataPack,net/minecraft/tags/TagLoader,net/minecraft/registry/tag/TagGroupLoader,net/minecraft/class_3503
axg$c,net/minecraft/src/C_161_$C_345882_,net/minecraft/tags/TagDataPack$c,net/minecraft/tags/TagLoader$LoadResult,net/minecraft/registry/tag/TagGroupLoader$RegistryTags,net/minecraft/class_3503$class_6863
awv,net/minecraft/src/C_139_,net/minecraft/tags/TagsFluid,net/minecraft/tags/FluidTags,net/minecraft/registry/tag/FluidTags,net/minecraft/class_3486
awp,net/minecraft/src/C_137_,net/minecraft/tags/TagsBlock,net/minecraft/tags/BlockTags,net/minecraft/registry/tag/BlockTags,net/minecraft/class_3481
aww,net/minecraft/src/C_140982_,net/minecraft/tags/GameEventTags,net/minecraft/tags/GameEventTags,net/minecraft/registry/tag/GameEventTags,net/minecraft/class_5698
awx,net/minecraft/src/C_212956_,net/minecraft/tags/InstrumentTags,net/minecraft/tags/InstrumentTags,net/minecraft/registry/tag/InstrumentTags,net/minecraft/class_7441
awu,net/minecraft/src/C_212955_,,net/minecraft/tags/FlatLevelGeneratorPresetTags,net/minecraft/registry/tag/FlatLevelGeneratorPresetTags,net/minecraft/class_7088
awt,net/minecraft/src/C_138_,net/minecraft/tags/TagsEntity,net/minecraft/tags/EntityTypeTags,net/minecraft/registry/tag/EntityTypeTags,net/minecraft/class_3483
axg$d,net/minecraft/src/C_161_$C_283707_,net/minecraft/tags/TagDataPack$d,net/minecraft/tags/TagLoader$SortingEntry,net/minecraft/registry/tag/TagGroupLoader$TagDependencies,net/minecraft/class_3503$class_8522
axd,net/minecraft/src/C_212961_,net/minecraft/tags/TagEntry,net/minecraft/tags/TagEntry,net/minecraft/registry/tag/TagEntry,net/minecraft/class_3497
awy,net/minecraft/src/C_140_,net/minecraft/tags/TagsItem,net/minecraft/tags/ItemTags,net/minecraft/registry/tag/ItemTags,net/minecraft/class_3489
awo,net/minecraft/src/C_206957_,net/minecraft/tags/BiomeTags,net/minecraft/tags/BiomeTags,net/minecraft/registry/tag/BiomeTags,net/minecraft/class_6908
axd$a,net/minecraft/src/C_212961_$C_212962_,net/minecraft/tags/TagEntry$a,net/minecraft/tags/TagEntry$Lookup,net/minecraft/registry/tag/TagEntry$ValueGetter,net/minecraft/class_3497$class_7474
axe,net/minecraft/src/C_212963_,net/minecraft/tags/TagFile,net/minecraft/tags/TagFile,net/minecraft/registry/tag/TagFile,net/minecraft/class_7475
awz,net/minecraft/src/C_212957_,net/minecraft/tags/PaintingVariantTags,net/minecraft/tags/PaintingVariantTags,net/minecraft/registry/tag/PaintingVariantTags,net/minecraft/class_7406
aws,net/minecraft/src/C_313355_,net/minecraft/tags/EnchantmentTags,net/minecraft/tags/EnchantmentTags,net/minecraft/registry/tag/EnchantmentTags,net/minecraft/class_9636
axg$a,net/minecraft/src/C_161_$C_346136_,net/minecraft/tags/TagDataPack$a,net/minecraft/tags/TagLoader$ElementLookup,net/minecraft/registry/tag/TagGroupLoader$EntrySupplier,net/minecraft/class_3503$class_10272
awn,net/minecraft/src/C_212953_,net/minecraft/tags/BannerPatternTags,net/minecraft/tags/BannerPatternTags,net/minecraft/registry/tag/BannerPatternTags,net/minecraft/class_7440
axf,net/minecraft/src/C_203208_,net/minecraft/tags/TagKey,net/minecraft/tags/TagKey,net/minecraft/registry/tag/TagKey,net/minecraft/class_6862
awq,net/minecraft/src/C_212954_,net/minecraft/tags/CatVariantTags,net/minecraft/tags/CatVariantTags,net/minecraft/registry/tag/CatVariantTags,net/minecraft/class_7369
l$b,net/minecraft/src/C_4777_$C_4779_,net/minecraft/BlockUtil$IntBounds,net/minecraft/BlockUtil$IntBounds,net/minecraft/world/BlockLocating$IntBounds,net/minecraft/class_5459$class_5461
m,net/minecraft/src/C_4824_,net/minecraft/CharPredicate,net/minecraft/CharPredicate,net/minecraft/util/function/CharPredicate,net/minecraft/class_5462
q,net/minecraft/src/C_4957_,net/minecraft/CrashReportCallable,net/minecraft/CrashReportDetail,net/minecraft/util/crash/CrashCallable,net/minecraft/class_133
z,net/minecraft/src/C_5204_,net/minecraft/ReportedException,net/minecraft/ReportedException,net/minecraft/util/crash/CrashException,net/minecraft/class_148
kh$c,net/minecraft/src/C_254591_$C_254592_,net/minecraft/core/RegistrySetBuilder$c,net/minecraft/core/RegistrySetBuilder$EmptyTagLookup,net/minecraft/registry/RegistryBuilder$EntryListCreatingLookup,net/minecraft/class_7877$class_7880
kn,net/minecraft/src/C_4714_,net/minecraft/core/IRegistryWritable,net/minecraft/core/WritableRegistry,net/minecraft/registry/MutableRegistry,net/minecraft/class_2385
kh$m,net/minecraft/src/C_254591_$C_313308_,net/minecraft/core/RegistrySetBuilder$m,net/minecraft/core/RegistrySetBuilder$UniversalOwner,net/minecraft/registry/RegistryBuilder$AnyOwner,net/minecraft/class_7877$class_7879
ji$4,net/minecraft/src/C_4675_$C_4679_,net/minecraft/core/BlockPosition$4,net/minecraft/core/BlockPos$4,net/minecraft/util/math/BlockPos$4,net/minecraft/class_2338$4
jr$b,net/minecraft/src/C_203228_$C_203230_,net/minecraft/core/Holder$b,net/minecraft/core/Holder$Kind,net/minecraft/registry/entry/RegistryEntry$Type,net/minecraft/class_6880$class_6882
jn$a,net/minecraft/src/C_4687_$C_4689_,net/minecraft/core/EnumDirection$EnumAxis,net/minecraft/core/Direction$Axis,net/minecraft/util/math/Direction$Axis,net/minecraft/class_2350$class_2351
jm,net/minecraft/src/C_4686_,net/minecraft/core/RegistryBlocks,net/minecraft/core/DefaultedRegistry,net/minecraft/registry/DefaultedRegistry,net/minecraft/class_7922
kf$a,net/minecraft/src/C_4706_$C_243620_,net/minecraft/core/IRegistryCustom$a,net/minecraft/core/RegistryAccess$1FrozenAccess,net/minecraft/registry/DynamicRegistryManager$Immutablized,net/minecraft/class_5455$class_7781
jv$b,net/minecraft/src/C_203233_$C_203235_,net/minecraft/core/HolderSet$b,net/minecraft/core/HolderSet$ListBacked,net/minecraft/registry/entry/RegistryEntryList$ListBacked,net/minecraft/class_6885$class_6887
kg,net/minecraft/src/C_203245_,net/minecraft/core/RegistryCodecs,net/minecraft/core/RegistryCodecs,net/minecraft/registry/RegistryCodecs,net/minecraft/class_6895
jn$a$2,net/minecraft/src/C_4687_$C_4689_$C_4691_,net/minecraft/core/EnumDirection$EnumAxis$2,net/minecraft/core/Direction$Axis$2,net/minecraft/util/math/Direction$Axis$2,net/minecraft/class_2350$class_2351$2
jz$a$2,net/minecraft/src/C_4700_$C_346059_$C_345625_,net/minecraft/core/RegistryMaterials$a$2,net/minecraft/core/MappedRegistry$TagSet$2,net/minecraft/registry/SimpleRegistry$TagLookup$2,net/minecraft/class_2370$class_10105$2
kf$d,net/minecraft/src/C_4706_$C_203242_,net/minecraft/core/IRegistryCustom$d,net/minecraft/core/RegistryAccess$RegistryEntry,net/minecraft/registry/DynamicRegistryManager$Entry,net/minecraft/class_5455$class_6892
jt,net/minecraft/src/C_213466_,net/minecraft/core/HolderLookup,net/minecraft/core/HolderLookup,net/minecraft/registry/RegistryWrapper,net/minecraft/class_7225
jx,net/minecraft/src/C_4699_,net/minecraft/core/RegistryBlockID,net/minecraft/core/IdMapper,net/minecraft/util/collection/IdList,net/minecraft/class_2361
jt$b$a,net/minecraft/src/C_213466_$C_213467_$C_254586_,net/minecraft/core/HolderLookup$b$a,net/minecraft/core/HolderLookup$RegistryLookup$Delegate,net/minecraft/registry/RegistryWrapper$Impl$Delegating,net/minecraft/class_7225$class_7226$class_7875
ke,net/minecraft/src/C_4705_,net/minecraft/core/IRegistry,net/minecraft/core/Registry,net/minecraft/registry/Registry,net/minecraft/class_2378
jr,net/minecraft/src/C_203228_,net/minecraft/core/Holder,net/minecraft/core/Holder,net/minecraft/registry/entry/RegistryEntry,net/minecraft/class_6880
kh$l,net/minecraft/src/C_254591_$C_254587_,net/minecraft/core/RegistrySetBuilder$l,net/minecraft/core/RegistrySetBuilder$UniversalLookup,net/minecraft/registry/RegistryBuilder$StandAloneEntryCreatingLookup,net/minecraft/class_7877$class_7885
jr$c$a,net/minecraft/src/C_203228_$C_203231_$C_203232_,net/minecraft/core/Holder$c$a,net/minecraft/core/Holder$Reference$Type,net/minecraft/registry/entry/RegistryEntry$Reference$Type,net/minecraft/class_6880$class_6883$class_6884
jj$a,net/minecraft/src/C_302143_$C_301963_,net/minecraft/core/Cloner$a,net/minecraft/core/Cloner$Factory,net/minecraft/registry/RegistryCloner$CloneableRegistries,net/minecraft/class_8990$class_8991
jg$1,net/minecraft/src/C_313636_$C_313356_,,net/minecraft/core/BlockBox$1,net/minecraft/util/math/ImmutableBlockBox$1,net/minecraft/class_9380$1
jn$a$3,net/minecraft/src/C_4687_$C_4689_$C_4692_,net/minecraft/core/EnumDirection$EnumAxis$3,net/minecraft/core/Direction$Axis$3,net/minecraft/util/math/Direction$Axis$3,net/minecraft/class_2350$class_2351$3
kh$3$1,net/minecraft/src/C_254591_$C_313486_$C_313857_,net/minecraft/core/RegistrySetBuilder$3$1,net/minecraft/core/RegistrySetBuilder$3$1,net/minecraft/registry/RegistryBuilder$3$1,net/minecraft/class_7877$3$1
kh$h,net/minecraft/src/C_254591_$C_254589_,net/minecraft/core/RegistrySetBuilder$h,net/minecraft/core/RegistrySetBuilder$RegisteredValue,net/minecraft/registry/RegistryBuilder$RegisteredValue,net/minecraft/class_7877$class_7881
jp,net/minecraft/src/C_4696_,net/minecraft/core/BlockPropertyJigsawOrientation,net/minecraft/core/FrontAndTop,net/minecraft/block/enums/Orientation,net/minecraft/class_5000
kh$3,net/minecraft/src/C_254591_$C_313486_,net/minecraft/core/RegistrySetBuilder$3,net/minecraft/core/RegistrySetBuilder$3,net/minecraft/registry/RegistryBuilder$3,net/minecraft/class_7877$3
kh$b,net/minecraft/src/C_254591_$C_254598_,net/minecraft/core/RegistrySetBuilder$b,net/minecraft/core/RegistrySetBuilder$BuildState,net/minecraft/registry/RegistryBuilder$Registries,net/minecraft/class_7877$class_7878
kl,net/minecraft/src/C_213468_,net/minecraft/core/UUIDUtil,net/minecraft/core/UUIDUtil,net/minecraft/util/Uuids,net/minecraft/class_4844
jj,net/minecraft/src/C_302143_,net/minecraft/core/Cloner,net/minecraft/core/Cloner,net/minecraft/registry/RegistryCloner,net/minecraft/class_8990
