owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
djp,tc,f_152543_,,MOSS_CARPET,MOSS_CARPET,field_28680,field,public static final Block
djp,td,f_271445_,,PINK_PETALS,PINK_PETALS,field_42750,field,public static final Block
djp,te,f_152544_,,MOSS_BLOCK,MOSS_BLOCK,field_28681,field,public static final Block
djp,tf,f_152545_,,BIG_DRIPLEAF,BIG_DRIPLEAF,field_28682,field,public static final Block
djp,tg,f_152546_,,BIG_DRIPLEAF_STEM,BIG_DRIPLEAF_STEM,field_28683,field,public static final Block
djp,th,f_152547_,,SMALL_DRIPLEAF,SMALL_DRIPLEAF,field_28684,field,public static final Block
djp,ti,f_152548_,,HANGING_ROOTS,HANGING_ROOTS,field_28686,field,public static final Block
djp,tj,f_152549_,,ROOTED_DIRT,ROOTED_DIRT,field_28685,field,public static final Block
djp,tk,f_220864_,,MUD,MUD,field_37576,field,public static final Block
djp,tl,f_152550_,,DEEPSLATE,DEEPSLATE,field_28888,field,public static final Block
djp,tm,f_152551_,,COBBLED_DEEPSLATE,COBBLED_DEEPSLATE,field_29031,field,public static final Block
djp,tn,f_152552_,,COBBLED_DEEPSLATE_STAIRS,COBBLED_DEEPSLATE_STAIRS,field_28889,field,public static final Block
djp,to,f_152553_,,COBBLED_DEEPSLATE_SLAB,COBBLED_DEEPSLATE_SLAB,field_28890,field,public static final Block
djp,tp,f_152554_,,COBBLED_DEEPSLATE_WALL,COBBLED_DEEPSLATE_WALL,field_28891,field,public static final Block
djp,tq,f_152555_,,POLISHED_DEEPSLATE,POLISHED_DEEPSLATE,field_28892,field,public static final Block
djp,tr,f_152556_,,POLISHED_DEEPSLATE_STAIRS,POLISHED_DEEPSLATE_STAIRS,field_28893,field,public static final Block
djp,ts,f_152557_,,POLISHED_DEEPSLATE_SLAB,POLISHED_DEEPSLATE_SLAB,field_28894,field,public static final Block
djp,tt,f_152558_,,POLISHED_DEEPSLATE_WALL,POLISHED_DEEPSLATE_WALL,field_28895,field,public static final Block
djp,tu,f_152559_,,DEEPSLATE_TILES,DEEPSLATE_TILES,field_28896,field,public static final Block
djp,tv,f_152560_,,DEEPSLATE_TILE_STAIRS,DEEPSLATE_TILE_STAIRS,field_28897,field,public static final Block
djp,tw,f_152561_,,DEEPSLATE_TILE_SLAB,DEEPSLATE_TILE_SLAB,field_28898,field,public static final Block
djp,tx,f_152562_,,DEEPSLATE_TILE_WALL,DEEPSLATE_TILE_WALL,field_28899,field,public static final Block
djp,ty,f_152589_,,DEEPSLATE_BRICKS,DEEPSLATE_BRICKS,field_28900,field,public static final Block
djp,tz,f_152590_,,DEEPSLATE_BRICK_STAIRS,DEEPSLATE_BRICK_STAIRS,field_28901,field,public static final Block
djp,tA,f_152591_,,DEEPSLATE_BRICK_SLAB,DEEPSLATE_BRICK_SLAB,field_28902,field,public static final Block
djp,tB,f_152592_,,DEEPSLATE_BRICK_WALL,DEEPSLATE_BRICK_WALL,field_28903,field,public static final Block
djp,tC,f_152593_,,CHISELED_DEEPSLATE,CHISELED_DEEPSLATE,field_28904,field,public static final Block
djp,tD,f_152594_,,CRACKED_DEEPSLATE_BRICKS,CRACKED_DEEPSLATE_BRICKS,field_29222,field,public static final Block
djp,tE,f_152595_,,CRACKED_DEEPSLATE_TILES,CRACKED_DEEPSLATE_TILES,field_29223,field,public static final Block
djp,tF,f_152596_,,INFESTED_DEEPSLATE,INFESTED_DEEPSLATE,field_29224,field,public static final Block
djp,tG,f_152597_,,SMOOTH_BASALT,SMOOTH_BASALT,field_29032,field,public static final Block
djp,tH,f_152598_,,RAW_IRON_BLOCK,RAW_IRON_BLOCK,field_33508,field,public static final Block
djp,tI,f_152599_,,RAW_COPPER_BLOCK,RAW_COPPER_BLOCK,field_33509,field,public static final Block
djp,tJ,f_152600_,,RAW_GOLD_BLOCK,RAW_GOLD_BLOCK,field_33510,field,public static final Block
djp,tK,f_152601_,,POTTED_AZALEA,POTTED_AZALEA_BUSH,field_33918,field,public static final Block
djp,tL,f_152602_,,POTTED_FLOWERING_AZALEA,POTTED_FLOWERING_AZALEA_BUSH,field_33919,field,public static final Block
djp,tM,f_220859_,,OCHRE_FROGLIGHT,OCHRE_FROGLIGHT,field_37572,field,public static final Block
djp,tN,f_220860_,,VERDANT_FROGLIGHT,VERDANT_FROGLIGHT,field_37573,field,public static final Block
djp,tO,f_220861_,,PEARLESCENT_FROGLIGHT,PEARLESCENT_FROGLIGHT,field_37574,field,public static final Block
djp,tP,f_220862_,,FROGSPAWN,FROGSPAWN,field_37575,field,public static final Block
