owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
j,"a(n arg0, String[] arg1, int arg2)","func_147178_a(ICommandSender arg0, String[] arg1, int arg2)",,,,,method,"a(n arg0, String[] arg1, int arg2)",(Ln;[Ljava/lang/String;I)Lfb;,IChatBaseComponent
j,"b(n arg0, String[] arg1, int arg2, boolean arg3)","func_147176_a(ICommandSender arg0, String[] arg1, int arg2, boolean arg3)",,,,,method,"b(n arg0, String[] arg1, int arg2, boolean arg3)",(Ln;[Ljava/lang/String;IZ)Lfb;,IChatBaseComponent
j,"a(String[] arg0, int arg1)","func_180529_a(String[] arg0, int arg1)",,,,,method,"a(String[] arg0, int arg1)",([Ljava/lang/String;I)Ljava/lang/String;,String
j,"a(double arg0, String arg1, boolean arg2)","func_175770_a(double arg0, String arg1, boolean arg2)",,,,,method,"a(double arg0, String arg1, boolean arg2)",(DLjava/lang/String;Z)Lj$a;,CommandAbstract$CommandNumber
j,"a(double arg0, String arg1, int arg2, int arg3, boolean arg4)","func_175767_a(double arg0, String arg1, int arg2, int arg3, boolean arg4)",,,,,method,"a(double arg0, String arg1, int arg2, int arg3, boolean arg4)",(DLjava/lang/String;IIZ)Lj$a;,CommandAbstract$CommandNumber
j,"b(double arg0, String arg1, boolean arg2)","func_175761_b(double arg0, String arg1, boolean arg2)",,,,,method,"b(double arg0, String arg1, boolean arg2)",(DLjava/lang/String;Z)D,double
j,"b(double arg0, String arg1, int arg2, int arg3, boolean arg4)","func_175769_b(double arg0, String arg1, int arg2, int arg3, boolean arg4)",,,,,method,"b(double arg0, String arg1, int arg2, int arg3, boolean arg4)",(DLjava/lang/String;IIZ)D,double
j,"a(n arg0, String arg1)","func_147179_f(ICommandSender arg0, String arg1)",,,,,method,"a(n arg0, String arg1)",(Ln;Ljava/lang/String;)Lafg;,Item
j,"b(n arg0, String arg1)","func_147180_g(ICommandSender arg0, String arg1)",,,,,method,"b(n arg0, String arg1)",(Ln;Ljava/lang/String;)Lals;,Block
j,"a(als arg0, String arg1)","func_190794_a(Block arg0, String arg1)",,,,,method,"a(als arg0, String arg1)",(Lals;Ljava/lang/String;)Latj;,IBlockData
j,"a(atj arg0, atz<T> arg1, Comparable<?> arg2)","func_190793_a(IBlockState arg0, IProperty<T> arg1, Comparable<?> arg2)",,,,,method,"a(atj arg0, atz<T> arg1, Comparable<?> arg2)",(Latj;Latz;Ljava/lang/Comparable;)Ljava/lang/Comparable;,<T extends Comparable<T>> IBlockData
j,"b(als arg0, String arg1)","func_190791_b(Block arg0, String arg1)",,,,,method,"b(als arg0, String arg1)",(Lals;Ljava/lang/String;)Lcom/google/common/base/Predicate;,com.google.common.base.Predicate<IBlockData>
j,"c(als arg0, String arg1)","func_190795_c(Block arg0, String arg1)",,,,,method,"c(als arg0, String arg1)",(Lals;Ljava/lang/String;)Ljava/util/Map;,"Map<IBlockState<?>, Comparable<?>>"
j,"a(atz<T> arg0, String arg1)","func_190792_a(IProperty<T> arg0, String arg1)",,,,,method,"a(atz<T> arg0, String arg1)",(Latz;Ljava/lang/String;)Ljava/lang/Comparable;,<T extends Comparable<T>> T
j,a(Object[] arg0),func_71527_a(Object[] arg0),,,,,method,a(Object[] arg0),([Ljava/lang/Object;)Ljava/lang/String;,String
j,a(List<fb> arg0),func_180530_a(List<ITextComponent> arg0),,,,,method,a(List<fb> arg0),(Ljava/util/List;)Lfb;,IChatBaseComponent
j,a(Collection<String> arg0),func_96333_a(Collection<String> arg0),,,,,method,a(Collection<String> arg0),(Ljava/util/Collection;)Ljava/lang/String;,String
j,"a(String[] arg0, int arg1, co arg2)","func_175771_a(String[] arg0, int arg1, BlockPos arg2)",,,,,method,"a(String[] arg0, int arg1, co arg2)",([Ljava/lang/String;ILco;)Ljava/util/List;,List<String>
j,"b(String[] arg0, int arg1, co arg2)","func_181043_b(String[] arg0, int arg1, BlockPos arg2)",,,,,method,"b(String[] arg0, int arg1, co arg2)",([Ljava/lang/String;ILco;)Ljava/util/List;,List<String>
j,"a(String arg0, String arg1)","func_71523_a(String arg0, String arg1)",,,,,method,"a(String arg0, String arg1)",(Ljava/lang/String;Ljava/lang/String;)Z,boolean
j,"a(String[] arg0, String... arg1)","func_71530_a(String[] arg0, String... arg1)",,,,,method,"a(String[] arg0, String... arg1)",([Ljava/lang/String;[Ljava/lang/String;)Ljava/util/List;,List<String>
j,"a(String[] arg0, Collection<?> arg1)","func_175762_a(String[] arg0, Collection<?> arg1)",,,,,method,"a(String[] arg0, Collection<?> arg1)",([Ljava/lang/String;Ljava/util/Collection;)Ljava/util/List;,List<String>
j,"b(String[] arg0, int arg1)","func_82358_a(String[] arg0, int arg1)","isListStart(String[] arg0, int arg1)",,,,method,"b(String[] arg0, int arg1)",([Ljava/lang/String;I)Z,boolean
j,"a(n arg0, l arg1, String arg2, Object... arg3)","func_152373_a(ICommandSender arg0, ICommand arg1, String arg2, Object... arg3)",,,,,method,"a(n arg0, l arg1, String arg2, Object... arg3)",(Ln;Ll;Ljava/lang/String;[Ljava/lang/Object;)V,void
j,"a(n arg0, l arg1, int arg2, String arg3, Object... arg4)","func_152374_a(ICommandSender arg0, ICommand arg1, int arg2, String arg3, Object... arg4)",,,,,method,"a(n arg0, l arg1, int arg2, String arg3, Object... arg4)",(Ln;Ll;ILjava/lang/String;[Ljava/lang/Object;)V,void
j,a(i arg0),func_71529_a(ICommandListener arg0),,,,,method,a(i arg0),(Li;)V,void
j,a(l arg0),compareTo(ICommand arg0),,,,,method,a(l arg0),(Ll;)I,int
ja,<init>,,,,,,constructor,(),()V,public
ja,<init>,,,,,,constructor,(arg0),(Lsm;)V,public
ja,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
ja,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
ja,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
ja,a(),func_187004_a(),getX(),,,,method,a(),()D,double
ja,b(),func_187002_b(),getY(),,,,method,b(),()D,double
ja,c(),func_187003_c(),getZ(),,,,method,c(),()D,double
ja,d(),func_187006_d(),getYaw(),,,,method,d(),()F,float
ja,e(),func_187005_e(),getPitch(),,,,method,e(),()F,float
jb,<init>,,,,,,constructor,(),()V,public
jb,<init>,,,,,,constructor,"(arg0, arg1)",(ZZ)V,public
jb,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jb,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jb,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jb,a(),func_187012_a(),,,,,method,a(),()Z,boolean
jb,b(),func_187014_b(),,,,,method,b(),()Z,boolean
jc,<init>,,,,,,constructor,(),()V,public
jc,<init>,,,,,,constructor,(arg0),(Laav;)V,public
jc,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jc,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jc,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jc,a(),func_149494_c(),,,,,method,a(),()Z,boolean
jc,a(boolean arg0),func_149490_a(boolean arg0),,,,,method,a(boolean arg0),(Z)V,void
jc,b(),func_149488_d(),isFlying(),,,,method,b(),()Z,boolean
jc,b(boolean arg0),func_149483_b(boolean arg0),,,,,method,b(boolean arg0),(Z)V,void
jc,c(),func_149486_e(),,,,,method,c(),()Z,boolean
jc,c(boolean arg0),func_149491_c(boolean arg0),,,,,method,c(boolean arg0),(Z)V,void
jc,d(),func_149484_f(),,,,,method,d(),()Z,boolean
jc,d(boolean arg0),func_149493_d(boolean arg0),,,,,method,d(boolean arg0),(Z)V,void
jc,a(float arg0),func_149485_a(float arg0),,,,,method,a(float arg0),(F)V,void
jc,b(float arg0),func_149492_b(float arg0),,,,,method,b(float arg0),(F)V,void
jd$a,<init>,,,,,,constructor,(),()V,private
jd,<init>,,,,,,constructor,(),()V,public
jd,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljd$a;Lco;Lcv;)V,public
jd,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jd,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jd,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jd,a(),func_179715_a(),,,,,method,a(),()Lco;,BlockPosition
jd,b(),func_179714_b(),,,,,method,b(),()Lcv;,EnumDirection
jd,c(),func_180762_c(),,,,,method,c(),()Ljd$a;,PacketPlayInBlockDig$EnumPlayerDigType
je$a,<init>,,,,,,constructor,(),()V,private
je,<init>,,,,,,constructor,(),()V,public
je,<init>,,,,,,constructor,"(arg0, arg1)",(Lsm;Lje$a;)V,public
je,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Lsm;Lje$a;I)V,public
je,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
je,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
je,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
je,b(),func_180764_b(),,,,,method,b(),()Lje$a;,PacketPlayInEntityAction$EnumPlayerAction
je,c(),func_149512_e(),,,,,method,c(),()I,int
