owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
tx,"b(boolean arg0, int arg1)","func_70628_a(boolean arg0, int arg1)","dropDeathLoot(boolean arg0, int arg1)",,,,method,"b(boolean arg0, int arg1)",(ZI)V,void
tx,V(),func_70090_H(),,,,,method,V(),()Z,boolean
tx,m(),func_70636_d(),,,,,method,m(),()V,void
tx,"g(float arg0, float arg1)","func_70612_e(float arg0, float arg1)",,,,,method,"g(float arg0, float arg1)",(FF)V,void
tx,bR(),func_70601_bi(),,,,,method,bR(),()Z,boolean
tx,"b(float arg0, float arg1, float arg2)","func_175568_b(float arg0, float arg1, float arg2)",,,,,method,"b(float arg0, float arg1, float arg2)",(FFF)V,void
tx,n(),func_175567_n(),,,,,method,n(),()Z,boolean
tx,a(byte arg0),func_70103_a(byte arg0),,,,,method,a(byte arg0),(B)V,void
ty$a$1,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Lty$a;Lcom/google/common/base/Predicate;Lpy;)V,
ty$a$1,a(T arg0),apply(T arg0),,,,,method,a(T arg0),(Ljava/lang/Object;)Z,boolean
ty$a,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4, arg5)",(Lpy;Ljava/lang/Class;IZZLcom/google/common/base/Predicate;)V,public
ty,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
ty,h(),func_70088_a(),,,,,method,h(),()V,void
ty,E(),func_70619_bc(),,,,,method,E(),()V,void
ty,aX(),func_110147_ax(),initAttributes(),,,,method,aX(),()V,void
ty,j(int arg0),func_70682_h(int arg0),,,,,method,j(int arg0),(I)I,int
ty,s(pk arg0),func_82167_n(Entity arg0),,,,,method,s(pk arg0),(Lpk;)V,void
ty,m(),func_70636_d(),,,,,method,m(),()V,void
ty,a(Class<? extends pr> arg0),func_70686_a(Class<? extends EntityLivingBase> arg0),,,,,method,a(Class<? extends pr> arg0),(Ljava/lang/Class;)Z,boolean
ty,b(dn arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dn arg0),(Ldn;)V,void
ty,a(dn arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dn arg0),(Ldn;)V,void
ty,r(pk arg0),func_70652_k(Entity arg0),,,,,method,r(pk arg0),(Lpk;)Z,boolean
ty,n(),func_70852_n(),,,,,method,n(),()Ltf;,Village
ty,a(boolean arg0),func_70851_e(boolean arg0),,,,,method,a(boolean arg0),(Z)V,void
ty,bo(),func_70621_aR(),,,,,method,bo(),()Ljava/lang/String;,String
ty,bp(),func_70673_aS(),,,,,method,bp(),()Ljava/lang/String;,String
ty,"a(cj arg0, afh arg1)","func_180429_a(BlockPos arg0, Block arg1)",,,,,method,"a(cj arg0, afh arg1)",(Lcj;Lafh;)V,void
ty,"b(boolean arg0, int arg1)","func_70628_a(boolean arg0, int arg1)","dropDeathLoot(boolean arg0, int arg1)",,,,method,"b(boolean arg0, int arg1)",(ZI)V,void
ty,cm(),func_70853_p(),,,,,method,cm(),()I,int
ty,cn(),func_70850_q(),isPlayerCreated(),,,,method,cn(),()Z,boolean
ty,l(boolean arg0),func_70849_f(boolean arg0),setPlayerCreated(boolean arg0),,,,method,l(boolean arg0),(Z)V,void
ty,a(ow arg0),func_70645_a(DamageSource arg0),die(DamageSource arg0),,,,method,a(ow arg0),(Low;)V,void
ty,a(byte arg0),func_70103_a(byte arg0),,,,,method,a(byte arg0),(B)V,void
ty,cl(),func_70854_o(),,,,,method,cl(),()I,int
tz,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
tz,aY(),func_70648_aU(),,,,,method,aY(),()Z,boolean
tz,bR(),func_70601_bi(),,,,,method,bR(),()Z,boolean
tz,bS(),func_70058_J(),canSpawn(),,,,method,bS(),()Z,boolean
tz,w(),func_70627_aG(),,,,,method,w(),()I,int
tz,C(),func_70692_ba(),isTypeNotPersistent(),,,,method,C(),()Z,boolean
tz,b(wn arg0),func_70693_a(EntityPlayer arg0),getExpValue(EntityHuman arg0),,,,method,b(wn arg0),(Lwn;)I,int
tz,K(),func_70030_z(),,,,,method,K(),()V,void
tz,aL(),func_96092_aw(),,,,,method,aL(),()Z,boolean
u$a,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Lcj;Lalz;Ldn;)V,public
u,<init>,,,,,,constructor,(),()V,public
u,c(),func_71517_b(),getCommand(),,,,method,c(),()Ljava/lang/String;,String
u,a(),func_82362_a(),,,,,method,a(),()I,int
u,c(m arg0),func_71518_a(ICommandSender arg0),getUsage(ICommandListener arg0),,,,method,c(m arg0),(Lm;)Ljava/lang/String;,String
u,"a(m arg0, String[] arg1)","func_71515_b(ICommandSender arg0, String[] arg1)","execute(ICommandListener arg0, String[] arg1)",,,,method,"a(m arg0, String[] arg1)",(Lm;[Ljava/lang/String;)V,void
u,"a(m arg0, String[] arg1, cj arg2)","func_180525_a(ICommandSender arg0, String[] arg1, BlockPos arg2)","tabComplete(ICommandListener arg0, String[] arg1, BlockPosition arg2)",,,,method,"a(m arg0, String[] arg1, cj arg2)",(Lm;[Ljava/lang/String;Lcj;)Ljava/util/List;,List<String>
ua$1,<init>,,,,,,constructor,(arg0),(Lua;)V,
ua$1,a(pk arg0),apply(Entity arg0),,,,,method,a(pk arg0),(Lpk;)Z,boolean
ua,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
ua,aX(),func_110147_ax(),initAttributes(),,,,method,aX(),()V,void
ua,d(pr arg0),func_70624_b(EntityLivingBase arg0),setGoalTarget(EntityLiving arg0),,,,method,d(pr arg0),(Lpr;)V,void
ua,E(),func_70619_bc(),,,,,method,E(),()V,void
ua,h(),func_70088_a(),,,,,method,h(),()V,void
ua,"a(cj arg0, afh arg1)","func_180429_a(BlockPos arg0, Block arg1)",,,,,method,"a(cj arg0, afh arg1)",(Lcj;Lafh;)V,void
ua,b(dn arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dn arg0),(Ldn;)V,void
ua,a(dn arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dn arg0),(Ldn;)V,void
ua,z(),func_70639_aQ(),,,,,method,z(),()Ljava/lang/String;,String
ua,bo(),func_70621_aR(),,,,,method,bo(),()Ljava/lang/String;,String
ua,bp(),func_70673_aS(),,,,,method,bp(),()Ljava/lang/String;,String
ua,bB(),func_70599_aP(),,,,,method,bB(),()F,float
ua,A(),func_146068_u(),getLoot(),,,,method,A(),()Lzw;,Item
ua,m(),func_70636_d(),,,,,method,m(),()V,void
ua,t_(),func_70071_h_(),,,,,method,t_(),()V,void
ua,aS(),func_70047_e(),getHeadHeight(),,,,method,aS(),()F,float
ua,bQ(),func_70646_bf(),,,,,method,bQ(),()I,int
ua,"a(ow arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(ow arg0, float arg1)",(Low;F)Z,boolean
ua,r(pk arg0),func_70652_k(Entity arg0),,,,,method,r(pk arg0),(Lpk;)Z,boolean
