混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
acn$1,net/minecraft/entity/monster/AbstractSkeleton$1,net/minecraft/server/v1_12_R1/EntitySkeletonAbstract$1,,,
acn,net/minecraft/entity/monster/AbstractSkeleton,net/minecraft/server/v1_12_R1/EntitySkeletonAbstract,,,
aco$a,net/minecraft/entity/monster/EntityBlaze$AIFireballAttack,net/minecraft/server/v1_12_R1/EntityBlaze$PathfinderGoalBlazeFireball,,,
aco,net/minecraft/entity/monster/EntityBlaze,net/minecraft/server/v1_12_R1/EntityBlaze,,,
acp,net/minecraft/entity/monster/EntityCaveSpider,net/minecraft/server/v1_12_R1/EntityCaveSpider,,,
acq,net/minecraft/entity/monster/EntityCreeper,net/minecraft/server/v1_12_R1/EntityCreeper,,,
acr$1,net/minecraft/entity/monster/EntityElderGuardian$1,net/minecraft/server/v1_12_R1/EntityGuardianElder$1,,,
acr,net/minecraft/entity/monster/EntityElderGuardian,net/minecraft/server/v1_12_R1/EntityGuardianElder,,,
acs$1,net/minecraft/entity/monster/EntityEnderman$1,net/minecraft/server/v1_12_R1/EntityEnderman$1,,,
acs$a,net/minecraft/entity/monster/EntityEnderman$AIPlaceBlock,net/minecraft/server/v1_12_R1/EntityEnderman$PathfinderGoalEndermanPlaceBlock,,,
acs$b$1,net/minecraft/entity/monster/EntityEnderman$AIFindPlayer$1,net/minecraft/server/v1_12_R1/EntityEnderman$PathfinderGoalPlayerWhoLookedAtTarget$1,,,
acs$b,net/minecraft/entity/monster/EntityEnderman$AIFindPlayer,net/minecraft/server/v1_12_R1/EntityEnderman$PathfinderGoalPlayerWhoLookedAtTarget,,,
acs$c,net/minecraft/entity/monster/EntityEnderman$AITakeBlock,net/minecraft/server/v1_12_R1/EntityEnderman$PathfinderGoalEndermanPickupBlock,,,
acs,net/minecraft/entity/monster/EntityEnderman,net/minecraft/server/v1_12_R1/EntityEnderman,,,
act,net/minecraft/entity/monster/EntityEndermite,net/minecraft/server/v1_12_R1/EntityEndermite,,,
acu$1,net/minecraft/entity/monster/IMob$1,net/minecraft/server/v1_12_R1/IMonster$1,,,
acu$2,net/minecraft/entity/monster/IMob$2,net/minecraft/server/v1_12_R1/IMonster$2,,,
acu,net/minecraft/entity/monster/IMob,net/minecraft/server/v1_12_R1/IMonster,,,
acv$a,net/minecraft/entity/monster/EntityEvoker$AIAttackSpell,net/minecraft/server/v1_12_R1/EntityEvoker$a,,,
acv$b,net/minecraft/entity/monster/EntityEvoker$AICastingSpell,net/minecraft/server/v1_12_R1/EntityEvoker$b,,,
acv$c,net/minecraft/entity/monster/EntityEvoker$AISummonSpell,net/minecraft/server/v1_12_R1/EntityEvoker$c,,,
acv$d$1,net/minecraft/entity/monster/EntityEvoker$AIWololoSpell$1,net/minecraft/server/v1_12_R1/EntityEvoker$d$1,,,
acv$d,net/minecraft/entity/monster/EntityEvoker$AIWololoSpell,net/minecraft/server/v1_12_R1/EntityEvoker$d,,,
acv,net/minecraft/entity/monster/EntityEvoker,net/minecraft/server/v1_12_R1/EntityEvoker,,,
