owner_obf,member_obf,signature,kind,param_index,namespace,name
bpx$3,<init>,"(arg0, arg1, arg2, arg3, arg4, arg5)",constructor,2,混淆的,arg2
bpx$3,<init>,"(arg0, arg1, arg2, arg3, arg4, arg5)",constructor,3,混淆的,arg3
bpx$3,<init>,"(arg0, arg1, arg2, arg3, arg4, arg5)",constructor,4,混淆的,arg4
bpx$3,<init>,"(arg0, arg1, arg2, arg3, arg4, arg5)",constructor,5,混淆的,arg5
bqc,<init>,"(arg0, arg1, arg2, arg3)",constructor,0,混淆的,arg0
bqc,<init>,"(arg0, arg1, arg2, arg3)",constructor,1,混淆的,arg1
bqc,<init>,"(arg0, arg1, arg2, arg3)",constructor,2,混淆的,arg2
bqc,<init>,"(arg0, arg1, arg2, arg3)",constructor,3,混淆的,arg3
bqc,a,a(int arg0),method,0,混淆的,arg0
bqc,a,a(int arg0),method,0,Searge,arg0
bqc,b,b(int arg0),method,0,混淆的,arg0
bqc,b,b(int arg0),method,0,Searge,arg0
