owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
evc$e,b,f_172236_,,sprite,spriteProvider,field_29578,field,private final SpriteSet
ewg$a,a,f_107945_,,sprite,spriteProvider,field_17877,field,private final SpriteSet
ewq$a,a,f_108427_,,sprites,spriteProvider,field_17889,field,private final SpriteSet
ewk$a,a,f_108126_,,sprite,spriteProvider,field_17880,field,private final SpriteSet
ewd,b,f_107715_,,sprites,spriteProvider,field_23091,field,private final SpriteSet
ewd,a,f_234078_,,isGlowing,sculk,field_37961,field,protected boolean
evs,a,f_107548_,,xStart,startX,field_3886,field,private final double
evs,b,f_107549_,,yStart,startY,field_3885,field,private final double
evs,F,f_107547_,,zStart,startZ,field_3884,field,private final double
ewi$a,a,f_172334_,,sprites,spriteProvider,field_28460,field,private final SpriteSet
ewj$d,a,f_108082_,,sprite,spriteProvider,field_22240,field,private final SpriteSet
evv$a,a,f_233904_,,sprite,spriteProvider,comp_620,field,private final SpriteSet
eus$v,a,f_172028_,,sprite,spriteProvider,field_28784,field,protected final SpriteSet
eus$v,b,f_172029_,,random,random,field_28785,field,private final RandomSource
evy,a,f_107644_,,sprites,spriteProvider,field_17866,field,protected final SpriteSet
evy,b,f_107640_,,fadeR,targetRed,field_3878,field,private float
evy,F,f_107641_,,fadeG,targetGreen,field_3877,field,private float
evy,G,f_107642_,,fadeB,targetBlue,field_3876,field,private float
evy,H,f_107643_,,hasFade,changesColor,field_3880,field,private boolean
evc$c,a,f_172191_,,SPEED_FACTOR,field_29573,field_29573,field,private final double
evc$c,b,f_172192_,,sprite,spriteProvider,field_29574,field,private final SpriteSet
eus$t,a,f_106329_,,sprite,spriteProvider,field_22439,field,protected final SpriteSet
evd$a,a,f_106861_,,sprite,spriteProvider,field_17813,field,private final SpriteSet
ewn$a,a,f_108364_,,sprites,spriteProvider,field_17887,field,private final SpriteSet
evq,a,f_107429_,,TERRAIN_SHEET,TERRAIN_SHEET,field_17827,field,ParticleRenderType
evq,b,f_107430_,,PARTICLE_SHEET_OPAQUE,PARTICLE_SHEET_OPAQUE,field_17828,field,ParticleRenderType
evq,c,f_107431_,,PARTICLE_SHEET_TRANSLUCENT,PARTICLE_SHEET_TRANSLUCENT,field_17829,field,ParticleRenderType
evq,d,f_107432_,,PARTICLE_SHEET_LIT,PARTICLE_SHEET_LIT,field_17830,field,ParticleRenderType
evq,e,f_107433_,,CUSTOM,CUSTOM,field_17831,field,ParticleRenderType
evq,f,f_107434_,,NO_RENDER,NO_RENDER,field_17832,field,ParticleRenderType
ewe$a,a,f_107782_,,sprite,spriteProvider,field_17871,field,private final SpriteSet
euy$a,a,f_106586_,,sprites,spriteProvider,field_17807,field,private final SpriteSet
eut$a,a,f_172071_,,sprites,spriteProvider,field_28246,field,private final SpriteSet
eul,a,f_105643_,,uo,sampleU,field_17783,field,private final float
eul,b,f_105644_,,vo,sampleV,field_17784,field,private final float
ewj$a,a,f_108040_,,sprite,spriteProvider,field_22238,field,private final SpriteSet
eus,b,f_106049_,,type,fluid,field_3789,field,private final Fluid
eus,a,f_106048_,,isGlowing,obsidianTear,field_22437,field,protected boolean
evw,a,f_233930_,,sprites,spriteProvider,field_37960,field,private final SpriteSet
eus$p,a,f_106245_,,sprite,spriteProvider,field_18295,field,protected final SpriteSet
evn,a,f_107279_,,textures,textureList,field_18299,field,private final List<ResourceLocation>
eva$e,a,f_106754_,,life,age,field_3808,field,private int
eva$e,b,f_106755_,,engine,particleManager,field_3805,field,private final ParticleEngine
eva$e,D,f_106752_,,explosions,explosions,field_3806,field,private ListTag
eva$e,E,f_106753_,,twinkleDelay,flicker,field_3807,field,private boolean
ewk$b,a,f_108147_,,sprite,spriteProvider,field_17881,field,private final SpriteSet
eus$f,a,f_171958_,,sprite,spriteProvider,field_28072,field,protected final SpriteSet
eur,a,f_171926_,,COLOR_MIN,field_32654,field_32654,field,private static final int
eur,b,f_171927_,,COLOR_MAX,field_32655,field_32655,field,private static final int
eur,F,f_171920_,,COLOR_MIN_RED,field_32648,field_32648,field,private static final float
eur,G,f_171921_,,COLOR_MIN_GREEN,field_32649,field_32649,field,private static final float
eur,H,f_171922_,,COLOR_MIN_BLUE,field_32650,field_32650,field,private static final float
eur,I,f_171923_,,COLOR_MAX_RED,field_32651,field_32651,field,private static final float
eur,J,f_171924_,,COLOR_MAX_GREEN,field_32652,field_32652,field,private static final float
eur,K,f_171925_,,COLOR_MAX_BLUE,field_32653,field_32653,field,private static final float
eur,L,f_106002_,,hasHitGround,reachedGround,field_3792,field,private boolean
eur,M,f_106003_,,sprites,spriteProvider,field_17793,field,private final SpriteSet
eui,a,f_105544_,,sprites,spriteProvider,field_17781,field,private final SpriteSet
